Key,English,French
CLIENT_FAQ_INC_000017,"When you reach level 15 and you can't gain Exp anymore, you have to complete your 1st job transfer quest to gain Exp again. Go see the job trainer and complete the quest for the job you want when you reach level 15.","Au niveau 15, vous ne pouvez plus gagner d'expérience tant que vous n'aurez pas changé de métier. Allez voir les maîtres de classe pour obtenir les quête de changement de classe."
CLIENT_FAQ_INC_000018,,
CLIENT_FAQ_INC_000019,"In case you cannot acquire a skill, check your character level and the preceding skill to make sure you meet the requirements for that skill.","Si vous ne pouvez pas apprendre une compétence, vérifier le niveau de la compétence et les pré requis de celle-ci."
CLIENT_FAQ_INC_000020,How do I fly?,Comment voler ?
CLIENT_FAQ_INC_000021,When you reach level 20 you can buy a board or broomstick from a player or NPC. Then equip the by double-clicking on it and you can fly.,"Vous devriez être en mesure de voler au niveau 20, il vous suffit de vous rendre à la station de vol de l'une des Villes. Par exemple Dior à Flarine vous vendra alors tout le matériel nécessaire."
CLIENT_FAQ_INC_000022,How do I move the camera.,Comment déplacer la caméra ?
CLIENT_FAQ_INC_000023,There are two main ways to move the camera. Old Version: Press and hold the mouse wheel. Then move the mouse around. New Version: Press and hold the right mouse button. Then move the mouse around. Use the mouse wheel to zoom in or out and to rotate your camera.,"Déplacez la souris tout en maintenant le clic droit enfoncé pour modifier l'angle de vue, et utilisez la molette pour zoomer et dézoomer. Notez que les flèches directionnelles assurent les mêmes fonctions."
CLIENT_FAQ_INC_000024,How do I return to my default camera position?,Comment repositionner la caméra ?
CLIENT_FAQ_INC_000025,Old Version: Double click the mouse wheel. New Version: Double click the right mouse button.,"Si votre visibilité est réduite, double cliquez droit sur la souris afin de replacer la caméra dans le dos de votre personnage."
CLIENT_FAQ_INC_000026,"While flying, the camera is hard to move.",Comment déplacer la caméra en vol ?
CLIENT_FAQ_INC_000027,"While flying, double click on the right mouse button or use the arrow keys","En situation de vol, l'angle de vue peut être changé en déplaçant la souris tout en cliquant gauche, ainsi qu'en double cliquant droit."
CLIENT_FAQ_INC_000028,How can I use Emoticons?,Comment se reposer ?
CLIENT_FAQ_INC_000029,Click 'F9' to take a rest and click 'F9' again to stand up. You can also press 'O' and choose the sit emote and drag it to the bar.,"Cliquez sur F9 pour vous reposer. Un autre clic sur F9 suffira pour vous lever. Vous pouvez aussi appuyer sur ""O"" et choisir l'icône appropriée."
CLIENT_FAQ_INC_000030,How do you trade with other characters?,Comment commercer avec les autres personnages du jeu ?
CLIENT_FAQ_INC_000031,"Left click on a character while holding down Alt and choose the Trade menu. Using items as well as dropping items, along with NPC shops, are not available while trading.","Ouvrez une fenêtre d'échange en maintenant la touche Alt appuyée et en faisant un clique gauche sur un personnage. Quand cette fenêtre est ouverte, vous ne pouvez pas utiliser ou ramasser d'objet, vous ne pouvez pas non plus interagir avec les PNJ."
CLIENT_FAQ_INC_000032,Where can I get a quest?,Où obtenir les quêtes ?
CLIENT_FAQ_INC_000033,If you want to find out about taking on a quest you can do so by talking with the NPCs.,"Adressez-vous simplement aux différents PNJ que vous rencontrerez. Généralement, ceux qui ont une mission à vous confier vous l'indiqueront par un point d'exclamation. Une fois la quête acceptée, vous pourrez les retrouver facilement en cherchant les PNJ portant un point d'interrogation."
CLIENT_FAQ_INC_000034,What is a duel?,Qu'est-ce qu’un duel ? 
CLIENT_FAQ_INC_000035,"It means a duel between players, or PvP (Player Vs Player) by mutual consent. There is no penalty for dueling.","C'est un duel consenti mutuellement entre deux joueurs, PvP (Joueur contre Joueur). Il n'y a pas de pénalité de PK."
CLIENT_FAQ_INC_000036,How can I become famous?,Comment devenir célèbre ? 
CLIENT_FAQ_INC_000037,The more you win tournament the more famous you become. If you become a high level player people will recognize you no matter where you are.,"En remportant de nombreux duels, vous gagnerez en réputation et serez récompensé par des grades que vous pourrez afficher fièrement aux yeux de tous."
CLIENT_FAQ_INC_000038,Why are some player names red? Can I attack everyone?,Comment devenir hors-la-loi ?
CLIENT_FAQ_INC_000039,"PK and Karma increase as you kill other players. Your character will be penalized as your PK and Karma increase. A PK character's name is displayed in red. Your PK rate can be redeemed by completing a Confession quest, and your Karma lowers as you kill monsters and / or get killed.",Les points de PK augmentent si vous continuez à PK. Il y a un grand nombre de désavantage à avoir des points de PK qui augmentent en fonction du nombre de point de PK. Le nom des personnages PK est affiché en rouge. Vous devez faire la quête du confesseur pour perdre vos points de PK.
CLIENT_FAQ_INC_000040,"If I encounter a bug, what can I do?",Mais c'est quoi ce bug ?!
CLIENT_FAQ_INC_000041,When you encounter any bugs please inform us by posting the bug on our forums at $WEBSITE$,"Si vous rencontrez un problème majeur en jeu (bug), merci de bien vouloir nous en informer sur le site web de Flyff : $WEBSITE$. Nous ferons tout notre possible pour résoudre votre problème dans les meilleurs délais."
CLIENT_FAQ_INC_000042,What is a guild?,Qu'est-ce qu’une guilde ?
CLIENT_FAQ_INC_000043,"A Guild is a community that is much larger than a Party. Many functions are available as your guild level increases such as a Guild Bank, a Guild Cloak, and 1 on 1 Guild Battle.","Une guilde est une communautée plus vaste qu'un groupe. De nombreuses fonctions sont disponibles au fur et à mesure que le niveau de la guilde augmente comme la banque de guilde, la cape de guilde, les guerres de guilde 1v1, etc."
CLIENT_FAQ_INC_000044,Where can we form a guild?,Comment former une guilde ? 
CLIENT_FAQ_INC_000045,"To make a Guild, your character's level should be 40 or higher. Once you are level 40 go talk to NPC Helena in Saint Morning and complete the guild quest she gives you.","Pour créer une guilde, votre personnage doit-être au minimum niveau 40. Il suffit ensuite de parler à Helena qui se trouve à Saint Morning et d'accomplir la quête de guilde."
CLIENT_FAQ_INC_000046,How about a Party?,Comment créer un groupe avancé ?
CLIENT_FAQ_INC_000047,You can form a party to casually join together with other players.,"Lorsque le groupe atteint le niveau 10, cliquez sur le bouton correspondant dans la fenêtre des groupes (touche P). Vous pourrez alors nommer votre groupe et utiliser des compétences spéciales."
CLIENT_FAQ_INC_000048,How to invite other players?,Comment inviter d'autres joueurs ?
CLIENT_FAQ_INC_000049,Click on another player and select Invite to join party.,"Cliquez sur un autre joueur et cliquez sur ""Inviter dans le groupe""."
