Key,English,Portuguese
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFOOTSTEPS,Concoction of Swift Footsteps,Concoction of Swift Footsteps
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTHPRECOVERY,Concoction of Swift HP Recovery,Concoction of Swift HP Recovery
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTMPRECOVERY,Concoction of Swift MP Recovery,Concoction of Swift MP Recovery
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFPRECOVERY,Concoction of Swift FP Recovery,Concoction of Swift FP Recovery
PRODUCTION_RECIPE_NAME_POWERREFRESHER,Power Refresher,Power Refresher
PRODUCTION_RECIPE_NAME_POWERVITALDRINK,Power Vital Drink,Power Vital Drink
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH,Trimmed Nameless Fish,Trimmed Nameless Fish
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH2,Trimmed Nameless Fish2,Trimmed Nameless Fish2
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP,Trimmed Shrimp,Trimmed Shrimp
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP2,Trimmed Shrimp2,Trimmed Shrimp2
PRODUCTION_RECIPE_NAME_TRIMMEDCOD,Trimmed Cod,Trimmed Cod
PRODUCTION_RECIPE_NAME_TRIMMEDCOD2,Trimmed Cod2,Trimmed Cod2
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING,Trimmed Herring,Trimmed Herring
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING2,Trimmed Herring2,Trimmed Herring2
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID,Trimmed Squid,Trimmed Squid
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID2,Trimmed Squid2,Trimmed Squid2
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL,Trimmed Mackerel,Trimmed Mackerel
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL2,Trimmed Mackerel2,Trimmed Mackerel2
PRODUCTION_RECIPE_NAME_TRIMMEDEEL,Trimmed Eel,Trimmed Eel
PRODUCTION_RECIPE_NAME_TRIMMEDEEL2,Trimmed Eel2,Trimmed Eel2
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON,Trimmed Salmon,Trimmed Salmon
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON2,Trimmed Salmon2,Trimmed Salmon2
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA,Trimmed Tuna,Trimmed Tuna
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA2,Trimmed Tuna2,Trimmed Tuna2
PRODUCTION_RECIPE_NAME_CHEESE,Cheese,Cheese
PRODUCTION_RECIPE_NAME_TOMATOSAUCE,Tomato Sauce,Tomato Sauce
PRODUCTION_RECIPE_NAME_BREADDOUGH,Bread Dough,Bread Dough
PRODUCTION_RECIPE_NAME_BUTTER,Butter,Butter
PRODUCTION_RECIPE_NAME_MAYONNAISE,Mayonnaise,Mayonnaise
PRODUCTION_RECIPE_NAME_COOKEDRICE,Cooked Rice,Cooked Rice
PRODUCTION_RECIPE_NAME_FISHSAUCE,Fish Sauce,Fish Sauce
PRODUCTION_RECIPE_NAME_LOLLIPOP,Lollipop,Pirulito
PRODUCTION_RECIPE_NAME_MEATSKEWER,Meat Skewer,Espetinho de Carne
PRODUCTION_RECIPE_NAME_BISCUIT,Biscuit,Bolacha
PRODUCTION_RECIPE_NAME_FISHBALL,Fish Ball,Fish Ball
PRODUCTION_RECIPE_NAME_SEAFOODPANCAKE,Seafood Pancake,Torta de Frutos do Mar
PRODUCTION_RECIPE_NAME_FISHSOUP,Fish Soup,Sopa de Peixe
PRODUCTION_RECIPE_NAME_ROLLBREAD,Roll Bread,Pão de Forma
PRODUCTION_RECIPE_NAME_SAUSAGECASSEROLE,Sausage Casserole,Caçarola de Linguiça
PRODUCTION_RECIPE_NAME_HOTDOG,Hot Dog,Cachorro Quente
PRODUCTION_RECIPE_NAME_FISHSTEW,Fish Stew,Cozido de Peixe
PRODUCTION_RECIPE_NAME_PIZZA,Pizza,Pizza
PRODUCTION_RECIPE_NAME_STEAMEDSEAFOOD,Steamed Seafood,Frutos do Mar Cozidos
PRODUCTION_RECIPE_NAME_GRILLEDMACKEREL,Grilled Mackerel,Grilled Mackerel
PRODUCTION_RECIPE_NAME_CHICKENSTICK,Chicken Stick,Coxa de Frango
PRODUCTION_RECIPE_NAME_FRIEDSQUID,Fried Squid,Fried Squid
PRODUCTION_RECIPE_NAME_STARCANDY,Star Candy,Doce Estrela
PRODUCTION_RECIPE_NAME_FISHCUTLET,Fish Cutlet,Fish Cutlet
PRODUCTION_RECIPE_NAME_MEATSALAD,Meat Salad,Salada com Carne
PRODUCTION_RECIPE_NAME_SEAFOODPIZZA,Seafood Pizza,Pizza de Frutos do Mar
PRODUCTION_RECIPE_NAME_FRIEDSHRIMP,Fried Shrimp,Fried Shrimp
PRODUCTION_RECIPE_NAME_SHRIMPFRIEDRICE,Shrimp Fried Rice,Shrimp Fried Rice
PRODUCTION_RECIPE_NAME_GRATIN,Gratin,Gratinado
PRODUCTION_RECIPE_NAME_CORALISLANDCURRY,Coral Island Curry,Curry da Ilha Coral
PRODUCTION_RECIPE_NAME_TUNASUSHI,Tuna Sushi,Tuna Sushi
PRODUCTION_RECIPE_NAME_REDFISHBALL,Red Fish Ball,Red Fish Ball
PRODUCTION_RECIPE_NAME_BLUEFISHBALL,Blue Fish Ball,Blue Fish Ball
PRODUCTION_RECIPE_NAME_GREENFISHBALL,Green Fish Ball,Green Fish Ball
PRODUCTION_RECIPE_NAME_PURPLEFISHBALL,Purple Fish Ball,Purple Fish Ball
PRODUCTION_RECIPE_NAME_RAINBOWFISHBALL,Rainbow Fish Ball,Rainbow Fish Ball
PRODUCTION_RECIPE_NAME_ORANGEFISHBALL,Orange Fish Ball,Orange Fish Ball
PRODUCTION_RECIPE_NAME_SKYBLUEFISHBALL,Sky Blue Fish Ball,Sky Blue Fish Ball
PRODUCTION_RECIPE_NAME_YELLOWFISHBALL,Yellow Fish Ball,Yellow Fish Ball
PRODUCTION_RECIPE_NAME_PINKFISHBALL,Pink Fish Ball,Pink Fish Ball
PRODUCTION_RECIPE_NAME_GREYFISHBALL,Grey Fish Ball,Grey Fish Ball
PRODUCTION_RECIPE_NAME_WHITEFISHBALL,White Fish Ball,White Fish Ball
PRODUCTION_RECIPE_NAME_PICKLEDHERRING,Pickled Herring,Pickled Herring
PRODUCTION_RECIPE_NAME_SALMONSTEAK,Salmon Steak,Salmon Steak
PRODUCTION_RECIPE_NAME_FISHSANDWICH,Fish Sandwich,Fish Sandwich
PRODUCTION_RECIPE_NAME_GRILLEDSALTEDEEL,Grilled Salted Eel,Grilled Salted Eel
PRODUCTION_RECIPE_NAME_PLYWOOD,Plywood,Plywood
PRODUCTION_RECIPE_NAME_RESIN,Resin,Resin
PRODUCTION_RECIPE_NAME_FINISHINGMATERIAL,Finishing Material,Finishing Material
PRODUCTION_RECIPE_NAME_CEDARHARDWOOD,Cedar Hardwood,Cedar Hardwood
PRODUCTION_RECIPE_NAME_CHERRYHARDWOOD,Cherry Hardwood,Cherry Hardwood
PRODUCTION_RECIPE_NAME_PINEHARDWOOD,Pine Hardwood,Pine Hardwood
PRODUCTION_RECIPE_NAME_MAPLEHARDWOOD,Maple Hardwood,Maple Hardwood
PRODUCTION_RECIPE_NAME_OAKHARDWOOD,Oak Hardwood,Oak Hardwood
PRODUCTION_RECIPE_NAME_WALNUTHARDWOOD,Walnut Hardwood,Walnut Hardwood
PRODUCTION_RECIPE_NAME_TEAKHARDWOOD,Teak Hardwood,Teak Hardwood
PRODUCTION_RECIPE_NAME_EBONYHARDWOOD,Ebony Hardwood,Ebony Hardwood
PRODUCTION_RECIPE_NAME_MAHOGANYHARDWOOD,Mahogany Hardwood,Mahogany Hardwood
PRODUCTION_RECIPE_NAME_REDPAINT,Red Paint,Red Paint
PRODUCTION_RECIPE_NAME_BLUEPAINT,Blue Paint,Blue Paint
PRODUCTION_RECIPE_NAME_YELLOWPAINT,Yellow Paint,Yellow Paint
PRODUCTION_RECIPE_NAME_GREENPAINT,Green Paint,Green Paint
PRODUCTION_RECIPE_NAME_BLACKPAINT,Black Paint,Black Paint
PRODUCTION_RECIPE_NAME_WHITEPAINT,White Paint,White Paint
PRODUCTION_RECIPE_NAME_GOLDPAINT,Gold Paint,Gold Paint
PRODUCTION_RECIPE_NAME_WOODENCHAIR,Wooden Chair,Cadeira - Madeira
PRODUCTION_RECIPE_NAME_WOODENTABLE,Wooden Table,Mesa - Madeira
PRODUCTION_RECIPE_NAME_WOODENDRAWER,Wooden Drawer,Gaveta - Madeira
PRODUCTION_RECIPE_NAME_WOODENBOOKCASE,Wooden Bookcase,Estante - Madeira
PRODUCTION_RECIPE_NAME_WOODENSOFA,Wooden Sofa,Sofá - Madeira
PRODUCTION_RECIPE_NAME_WOODENYELLOWCHAIR,Wooden Yellow Chair,Cadeira (Amarela) - Madeira
PRODUCTION_RECIPE_NAME_WOODENYELLOWTABLE,Wooden Yellow Table,Mesa de Madeira (Amarela)
PRODUCTION_RECIPE_NAME_WOODENYELLOWDRESSINGTABLE,Wooden Yellow Dressing Table,Penteadeira Madeira (Amarela)
PRODUCTION_RECIPE_NAME_WOODENYELLOWCLOSET,Wooden Yellow Closet,Guarda-roupa de Madeira (Amarelo)
PRODUCTION_RECIPE_NAME_WOODENYELLOWBENCH,Wooden Yellow Bench,Banco de Madeira (Amarelo)
PRODUCTION_RECIPE_NAME_WOODENYELLOWCABINET,Wooden Yellow Cabinet,Armário de Madeira (Amarelo)
PRODUCTION_RECIPE_NAME_WOODENYELLOWBED,Wooden Yellow Bed,Cama de Madeira (Amarela)
PRODUCTION_RECIPE_NAME_WOODENBLUECHAIR,Wooden Blue Chair,Cadeira de Madeira (Azul)
PRODUCTION_RECIPE_NAME_WOODENBLUETABLE,Wooden Blue Table,Mesa de Madeira (Azul)
PRODUCTION_RECIPE_NAME_WOODENBLUEDRESSINGTABLE,Wooden Blue Dressing Table,Penteadeira de Madeira (Azul)
PRODUCTION_RECIPE_NAME_WOODENBLUECLOSET,Wooden Blue Closet,Guarda-roupa de Madeira (Azul)
PRODUCTION_RECIPE_NAME_WOODENBLUEBENCH,Wooden Blue Bench,Banco de Madeira (Azul)
PRODUCTION_RECIPE_NAME_WOODENBLUECABINET,Wooden Blue Cabinet,Armário de Madeira (Azul)
PRODUCTION_RECIPE_NAME_WOODENBLUEBED,Wooden Blue Bed,Cama de Madeira (Azul)
PRODUCTION_RECIPE_NAME_WOODENREDCHAIR,Wooden Red Chair,Cadeira de Madeira (Vermelha)
PRODUCTION_RECIPE_NAME_WOODENREDTABLE,Wooden Red Table,Mesa de Madeira (Vermelha)
PRODUCTION_RECIPE_NAME_WOODENREDDRESSINGTABLE,Wooden Red Dressing Table,Penteadeira de Madeira (Vermelha)
PRODUCTION_RECIPE_NAME_WOODENREDCLOSET,Wooden Red Closet,Guarda-roupa de Madeira (Vermelho)
PRODUCTION_RECIPE_NAME_WOODENREDBENCH,Wooden Red Bench,Banco de Madeira (Vermelho)
PRODUCTION_RECIPE_NAME_WOODENREDCABINET,Wooden Red Cabinet,Armário de Madeira (Vermelho)
PRODUCTION_RECIPE_NAME_WOODENREDBED,Wooden Red Bed,Cama de Madeira (Vermelha)
PRODUCTION_RECIPE_NAME_MUSICCHAIR,Music Chair,Cadeira - Musical
PRODUCTION_RECIPE_NAME_MUSICTABLE,Music Table,Mesa - Musical
PRODUCTION_RECIPE_NAME_MUSICDRESSINGTABLE,Music Dressing Table,Penteadeira - Musical
PRODUCTION_RECIPE_NAME_MUSICWARDROBE,Music Wardrobe,Guarda-roupa - Musical
PRODUCTION_RECIPE_NAME_MUSICSOFA,Music Sofa,Sofá - Musical
PRODUCTION_RECIPE_NAME_MUSICCABINET,Music Cabinet,Armário - Musical
PRODUCTION_RECIPE_NAME_MUSICBED,Music Bed,Cama - Musical
PRODUCTION_RECIPE_NAME_MODERNCHAIR,Modern Chair,Cadeira - Moderno
PRODUCTION_RECIPE_NAME_MODERNTABLE,Modern Table,Mesa - Moderno
PRODUCTION_RECIPE_NAME_MODERNDRESSINGTABLE,Modern Dressing Table,Penteadeira - Moderno
PRODUCTION_RECIPE_NAME_MODERNWARDROBE,Modern Wardrobe,Guarda-roupa - Moderno
PRODUCTION_RECIPE_NAME_MODERNSOFA,Modern Sofa,Sofá - Moderno
PRODUCTION_RECIPE_NAME_MODERNCABINET,Modern Cabinet,Armário - Moderno
PRODUCTION_RECIPE_NAME_MODERNBED,Modern Bed,Cama - Moderno
PRODUCTION_RECIPE_NAME_DESIGNBLACKCHAIR,Design Black Chair,Cadeira - Design (Preta) 
PRODUCTION_RECIPE_NAME_DESIGNWHITECHAIR,Design White Chair,Cadeira - Design (Branca)
PRODUCTION_RECIPE_NAME_DESIGNTABLE,Design Table,Mesa - Design
PRODUCTION_RECIPE_NAME_DESIGNDRAWER,Design Drawer,Gaveta - Design
PRODUCTION_RECIPE_NAME_DESIGNBOOKCASE,Design Bookcase,Estante - Design
PRODUCTION_RECIPE_NAME_DESIGNSOFA,Design Sofa,Sofá - Design
PRODUCTION_RECIPE_NAME_HEARTCHAIR,Heart Chair,Cadeira - Coração
PRODUCTION_RECIPE_NAME_HEARTTABLE,Heart Table,Mesa - Coração
PRODUCTION_RECIPE_NAME_HEARTDRESSINGTABLE,Heart Dressing Table,Penteadeira - Coração
PRODUCTION_RECIPE_NAME_HEARTWARDROBE,Heart Wardrobe,Guarda-roupa - Coração
PRODUCTION_RECIPE_NAME_HEARTSOFA,Heart Sofa,Sofá - Coração
PRODUCTION_RECIPE_NAME_HEARTCABINET,Heart Cabinet,Armário - Coração
PRODUCTION_RECIPE_NAME_HEARTBED,Heart Bed,Cama - Coração
PRODUCTION_RECIPE_NAME_CUSHIONCHAIR,Cushion Chair,Cadeira Almofadada
PRODUCTION_RECIPE_NAME_COMMANDDESK,Antique Desk,Antique Desk
PRODUCTION_RECIPE_NAME_COMMANDPLATFORM,Command Platform,Plataforma de Comando
PRODUCTION_RECIPE_NAME_SMALLTABLE,Small Table,Mesa Pequena
PRODUCTION_RECIPE_NAME_DRAWER,Drawer,Gaveta
PRODUCTION_RECIPE_NAME_TWINBED,Twin Bed,Cama de Solteiro
PRODUCTION_RECIPE_NAME_ROYALCHAIR,Royal Chair,Cadeira - Nobreza
PRODUCTION_RECIPE_NAME_ROYALTABLE,Royal Table,Mesa - Nobreza
PRODUCTION_RECIPE_NAME_ROYALDRESSINGTABLE,Royal Dressing Table,Penteadeira - Nobreza
PRODUCTION_RECIPE_NAME_ROYALWARDROBE,Royal Wardrobe,Guarda-roupa - Nobreza
PRODUCTION_RECIPE_NAME_ROYALSOFA,Royal Sofa,Sofá - Nobreza
PRODUCTION_RECIPE_NAME_ROYALBED,Royal Bed,Cama - Nobreza
PRODUCTION_RECIPE_NAME_ROYALDRAWER,Royal Drawer,Gaveta - Nobreza
PRODUCTION_RECIPE_NAME_ROYALBOOKCASE,Royal Bookcase,Estante - Nobreza
PRODUCTION_RECIPE_NAME_ROYALDESK,Royal Desk,Mesa de Escritório - Nobreza
PRODUCTION_RECIPE_NAME_ROYALBATH,Royal Bath,Banheiro - Nobreza
PRODUCTION_RECIPE_NAME_GOLDENROYALCHAIR,Golden Royal Chair,Cadeira - Nobreza (Dourado)
PRODUCTION_RECIPE_NAME_GOLDENROYALTABLE,Golden Royal Table,Mesa - Nobreza (Dourado)
PRODUCTION_RECIPE_NAME_GOLDENROYALDRESSINGTABLE,Golden Royal Dressing Table,Penteadeira - Nobreza (Dourado)
PRODUCTION_RECIPE_NAME_GOLDENROYALWARDROBE,Golden Royal Wardrobe,Guarda-roupa - Nobreza (Dourado)
PRODUCTION_RECIPE_NAME_GOLDENROYALSOFA,Golden Royal Sofa,Sofá - Nobreza (Dourado)
PRODUCTION_RECIPE_NAME_GOLDENROYALBED,Golden Royal Bed,Cama - Nobreza (Dourado)
PRODUCTION_RECIPE_NAME_GOLDENROYALDRAWER,Golden Royal Drawer,Gaveta - Nobreza (Dourado)
PRODUCTION_RECIPE_NAME_GOLDENROYALBOOKCASE,Golden Royal Bookcase,Estante - Nobreza (Dourado)
PRODUCTION_RECIPE_NAME_GOLDENROYALDESK,Golden Royal Desk,Mesa de Escritório - Nobreza (Dourado)
PRODUCTION_RECIPE_NAME_GOLDENROYALBATH,Golden Royal Bath,Banheiro - Nobreza (Dourado)
PRODUCTION_RECIPE_NAME_ALCHEMYDESK,Alchemy Desk,Alchemy Desk
PRODUCTION_RECIPE_NAME_HEARTH,Hearth,Hearth
PRODUCTION_RECIPE_NAME_CARPENTRYWORKSPACE,Carpentry Workspace,Carpentry Workspace
PRODUCTION_RECIPE_NAME_SMITHINGWORKSPACE,Smithing Workspace,Smithing Workspace
PRODUCTION_RECIPE_NAME_JEWELPOWDER,Jewel Powder,Jewel Powder
PRODUCTION_RECIPE_NAME_MARBLE,Marble,Marble
PRODUCTION_RECIPE_NAME_CRYSTAL,Crystal,Crystal
PRODUCTION_RECIPE_NAME_POLISHEDTURQUOISE,Polished Turquoise,Polished Turquoise
PRODUCTION_RECIPE_NAME_BRONZE,Bronze,Bronze
PRODUCTION_RECIPE_NAME_MALACHITE,Malachite,Malachite
PRODUCTION_RECIPE_NAME_POLISHEDJADE,Polished Jade,Polished Jade
PRODUCTION_RECIPE_NAME_POLISHEDSILVER,Polished Silver,Polished Silver
PRODUCTION_RECIPE_NAME_POLISHEDGOLD,Polished Gold,Polished Gold
PRODUCTION_RECIPE_NAME_POLISHEDPLATINUM,Polished Platinum,Polished Platinum
PRODUCTION_RECIPE_NAME_POLISHEDDIAMOND,Polished Diamond,Polished Diamond
PRODUCTION_RECIPE_NAME_GLASS,Glass,Glass
PRODUCTION_RECIPE_NAME_IMITATIONPEARL,Imitation Pearl,Imitation Pearl
PRODUCTION_RECIPE_NAME_FLASK,Flask,Flask
PRODUCTION_RECIPE_NAME_HINGE,Hinge,Hinge
PRODUCTION_RECIPE_NAME_SPRING,Spring,Spring
PRODUCTION_RECIPE_NAME_GOLDENSPHERE,Golden Sphere,Golden Sphere
PRODUCTION_RECIPE_NAME_JEWELSTRING,Jewel String,Jewel String
PRODUCTION_RECIPE_NAME_SILVERWORK,Silverwork,Silverwork
PRODUCTION_RECIPE_NAME_GOLDWORK,Goldwork,Goldwork
PRODUCTION_RECIPE_NAME_SPINNINGGLOBE,Spinning Globe,Globo Giratório
PRODUCTION_RECIPE_NAME_CHANDELIER,Chandelier,Candelabro
PRODUCTION_RECIPE_NAME_MIRROR,Mirror,Mirror
PRODUCTION_RECIPE_NAME_SILVERWORKOFATTACK,Silverwork of Attack,Silverwork of Attack
PRODUCTION_RECIPE_NAME_SILVERWORKOFDEFENSE,Silverwork of Defense,Silverwork of Defense
PRODUCTION_RECIPE_NAME_GOLDWORKOFATTACK,Goldwork of Attack,Goldwork of Attack
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICATTACK,Goldwork of Magic Attack,Goldwork of Magic Attack
PRODUCTION_RECIPE_NAME_GOLDWORKOFDEFENSE,Goldwork of Defense,Goldwork of Defense
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICRESISTANCE,Goldwork of Magic Resistance,Goldwork of Magic Resistance
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREATTACK,Cut Jade of Fire Attack,Cut Jade of Fire Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERATTACK,Cut Jade of Water Attack,Cut Jade of Water Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDATTACK,Cut Jade of Wind Attack,Cut Jade of Wind Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHATTACK,Cut Jade of Earth Attack,Cut Jade of Earth Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGATTACK,Cut Jade of Lightning Attack,Cut Jade of Lightning Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREDEFENSE,Cut Jade of Fire Defense,Cut Jade of Fire Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERDEFENSE,Cut Jade of Water Defense,Cut Jade of Water Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDDEFENSE,Cut Jade of Wind Defense,Cut Jade of Wind Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHDEFENSE,Cut Jade of Earth Defense,Cut Jade of Earth Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGDEFENSE,Cut Jade of Lightning Defense,Cut Jade of Lightning Defense
PRODUCTION_RECIPE_NAME_VIGORRING,Vigor Ring,Anel da Força
PRODUCTION_RECIPE_NAME_STAMRING,Stam Ring,Anel do Vigor
PRODUCTION_RECIPE_NAME_AREKRING,Arek Ring,Anel da Destreza
PRODUCTION_RECIPE_NAME_INTELIRING,Inteli Ring,Inteli Ring
PRODUCTION_RECIPE_NAME_PLUGEARRING,Plug Earring,Brincos Plug
PRODUCTION_RECIPE_NAME_DEMOLEARRING,Demol Earring,Brincos Demol
PRODUCTION_RECIPE_NAME_GORENECKLACE,Gore Necklace,Colar da Vida
PRODUCTION_RECIPE_NAME_MENTALNECKLACE,Mental Necklace,Colar Mental
PRODUCTION_RECIPE_NAME_PEISIONNECKLACE,Peision Necklace,Colar Peision
PRODUCTION_RECIPE_NAME_MIGHTEER,Mighteer,Mighteer
PRODUCTION_RECIPE_NAME_PENZERU,Penzeru,Penzeru
PRODUCTION_RECIPE_NAME_SPEEDO,Speedo,Speedo
PRODUCTION_RECIPE_NAME_PEP,Pep,Pep
PRODUCTION_RECIPE_NAME_SOCECLE,Socecle,Socecle
PRODUCTION_RECIPE_NAME_ENDUKY,Enduky,Enduky
PRODUCTION_RECIPE_NAME_STRENTE,Strente,Strente
PRODUCTION_RECIPE_NAME_INTIRET,Intiret,Intiret
PRODUCTION_RECIPE_NAME_DEXION,Dexion,Dexion
PRODUCTION_RECIPE_NAME_HANDCRAFTEDSILVERRING,Handcrafted Silver Ring,Handcrafted Silver Ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDGOLDRING,Handcrafted Gold Ring,Handcrafted Gold Ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDPLATINUMRING,Handcrafted Platinum Ring,Handcrafted Platinum Ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDDIAMONDRING,Handcrafted Diamond Ring,Handcrafted Diamond Ring
