Key,English,Portuguese
CLIENT_FAQ_INC_000015,"When you reach level 15, talk to Julia in Flarine to get your job transfer quests. The Mercenary and Assist quests start in Flaris, the Magician quest starts in Saint Morning, and the Acrobat quest starts in Darken.","Quando você chegar ao nível 15, vá para a zona leste de Flarine para obter sua quest de mudança de classe. Lá você encontrará os instrutores de cada classe, Acrobata, Assist, Mago e Mercenário."
CLIENT_FAQ_INC_000016,How come I do not gain anymore experience at level 15.,Por que não ganho mais exp. no nível 15?
CLIENT_FAQ_INC_000017,"When you reach level 15 and you can't gain Exp anymore, you have to complete your 1st job transfer quest to gain Exp again. Go see the job trainer and complete the quest for the job you want when you reach level 15.","Quando você atinge o nível 15 e não pode mais ganhar EXP, você deve completar sua primeira quest de transferência de classe para ganhar EXP novamente. Vá ver o treinador de classes e conclua a quest da classe que deseja quando chegar ao nível 15."
CLIENT_FAQ_INC_000018,,
CLIENT_FAQ_INC_000019,"In case you cannot acquire a skill, check your character level and the preceding skill to make sure you meet the requirements for that skill.","No caso de não conseguir adquirir habilidades, verifique o nível de seu personagem e as habilidades anteriores para ter certeza de que você alcançou os pré-requisitos para a habilidade em questão."
CLIENT_FAQ_INC_000020,How do I fly?,Como voar?
CLIENT_FAQ_INC_000021,When you reach level 20 you can buy a board or broomstick from a player or NPC. Then equip the by double-clicking on it and you can fly.,"Ao atingir o nível 20, você pode comprar uma prancha ou uma vassoura de um jogador ou NPC. Então, equipe clicando duas vezes sobre o item e você poderá voar."
CLIENT_FAQ_INC_000022,How do I move the camera.,Como movo a câmera?
CLIENT_FAQ_INC_000023,There are two main ways to move the camera. Old Version: Press and hold the mouse wheel. Then move the mouse around. New Version: Press and hold the right mouse button. Then move the mouse around. Use the mouse wheel to zoom in or out and to rotate your camera.,"Há duas formas principais de mover a câmera. Versão Antiga: Pressione e mantenha pressionado o botão de rolagem do mouse. Depois, movimente o mouse. Versão Nova: Pressione e mantenha pressionado o botão direito do mouse. Depois, movimente o mouse. Use o botão de rolagem para alterar o zoom."
CLIENT_FAQ_INC_000024,How do I return to my default camera position?,Como volto a câmera para o padrão?
CLIENT_FAQ_INC_000025,Old Version: Double click the mouse wheel. New Version: Double click the right mouse button.,Versão Antiga: Clique duas vezes com o botão de rolagem do mouse. Versão Nova: Clique duas vezes com o botão direito do mouse.
CLIENT_FAQ_INC_000026,"While flying, the camera is hard to move.","Durante o voo, é difícil mover a câmera."
CLIENT_FAQ_INC_000027,"While flying, double click on the right mouse button or use the arrow keys","Ao voar, clique duas vezes com o botão direito do mouse ou use as teclas de seta"
CLIENT_FAQ_INC_000028,How can I use Emoticons?,Como posso usar Emoticons?
CLIENT_FAQ_INC_000029,Click 'F9' to take a rest and click 'F9' again to stand up. You can also press 'O' and choose the sit emote and drag it to the bar.,Pressione a tecla O e selecione um emoticon. Você pode arrastá-los para sua barra de atalhos.
CLIENT_FAQ_INC_000030,How do you trade with other characters?,Como negociar com outros personagens?
CLIENT_FAQ_INC_000031,"Left click on a character while holding down Alt and choose the Trade menu. Using items as well as dropping items, along with NPC shops, are not available while trading.","Pressione a tecla ALT e clique sobre um jogador, ou simplesmente aperte o botão direito no jogador. Uma lista de opções aparecerá. Selecione 'Negociar'. Você não pode deixar itens no chão ou negociar com NPCs enquanto estiver negociando com outro jogador. Lembre-se de não emprestar itens para pessoas desconhecidas, caso perca, é por sua conta e risco."
CLIENT_FAQ_INC_000032,Where can I get a quest?,Onde posso conseguir uma quest?
CLIENT_FAQ_INC_000033,If you want to find out about taking on a quest you can do so by talking with the NPCs.,"Se quiser saber mais sobre participação de uma quest, fale com os NPCs."
CLIENT_FAQ_INC_000034,What is a duel?,O que é um duelo PVP?
CLIENT_FAQ_INC_000035,"It means a duel between players, or PvP (Player Vs Player) by mutual consent. There is no penalty for dueling.","É uma luta entre jogadores por consentimento mútuo. Não há penalidade para duelos. PvP significa Player versus Player, Jogador contra Jogador em Português."
CLIENT_FAQ_INC_000036,How can I become famous?,Como posso me tornar famoso?
CLIENT_FAQ_INC_000037,The more you win tournament the more famous you become. If you become a high level player people will recognize you no matter where you are.,"Quanto mais você vencer o torneio, mais famoso ficará. Se você se tornar um jogador de alto nível, as pessoas o reconhecerão em qualquer lugar."
CLIENT_FAQ_INC_000038,Why are some player names red? Can I attack everyone?,Por que alguns nomes de jogadores são vermelhos? Posso atacar a todos?
CLIENT_FAQ_INC_000039,"PK and Karma increase as you kill other players. Your character will be penalized as your PK and Karma increase. A PK character's name is displayed in red. Your PK rate can be redeemed by completing a Confession quest, and your Karma lowers as you kill monsters and / or get killed.","PK e Karma aumentam conforme você mata outros jogadores em servidores PK. Seu personagem será penalizado conforme seu PK e Karma aumentam. O nome de um personagem PK é exibido em vermelho. Sua taxa de PK pode ser resgatada completando uma missão de confissão, e seu Karma diminui conforme você mata monstros e/ou morre."
CLIENT_FAQ_INC_000040,"If I encounter a bug, what can I do?","Se eu encontrar um bug, o que posso fazer? "
CLIENT_FAQ_INC_000041,When you encounter any bugs please inform us by posting the bug on our forums at $WEBSITE$,"Ao encontrar qualquer bug, informe publicando o bug em nossos fóruns no site $WEBSITE$ ou em nosso canal oficial no Discord."
CLIENT_FAQ_INC_000042,What is a guild?,O que é uma guilda?
CLIENT_FAQ_INC_000043,"A Guild is a community that is much larger than a Party. Many functions are available as your guild level increases such as a Guild Bank, a Guild Cloak, and 1 on 1 Guild Battle.","Uma Guilda é uma comunidade muito maior do que um Grupo. Muitas funções estão disponíveis conforme o nível de sua guilda aumenta, como Banco da Guilda, Capa da Guilda e Batalha de Guilda 1 contra 1."
CLIENT_FAQ_INC_000044,Where can we form a guild?,Onde podemos formar uma guilda?
CLIENT_FAQ_INC_000045,"To make a Guild, your character's level should be 40 or higher. Once you are level 40 go talk to NPC Helena in Saint Morning and complete the guild quest she gives you.","Para criar uma Guilda, o nível do seu personagem deve ser 40 ou superior. Quando chegar ao nível 40, fale com a NPC Helena na Cidade de Saint e conclua a quest de guilda que ela lhe der."
CLIENT_FAQ_INC_000046,How about a Party?,E sobre formar grupos?
CLIENT_FAQ_INC_000047,You can form a party to casually join together with other players.,"Você pode formar um grupo para se reunir casualmente com outros jogadores. Para formar um, basta clicar com o botão direito em um personagem e convidá-lo para o grupo."
CLIENT_FAQ_INC_000048,How to invite other players?,Como convidar outros jogadores?
CLIENT_FAQ_INC_000049,Click on another player and select Invite to join party.,Clique em outro jogador e selecione Convidar para entrar no grupo.
