Key,English,Japanese
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFOOTSTEPS,Concoction of Swift Footsteps,Concoction of Swift Footsteps
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTHPRECOVERY,Concoction of Swift HP Recovery,Concoction of Swift HP Recovery
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTMPRECOVERY,Concoction of Swift MP Recovery,Concoction of Swift MP Recovery
PRODUCTION_RECIPE_NAME_CONCOCTIONOFSWIFTFPRECOVERY,Concoction of Swift FP Recovery,Concoction of Swift FP Recovery
PRODUCTION_RECIPE_NAME_POWERREFRESHER,Power Refresher,Power Refresher
PRODUCTION_RECIPE_NAME_POWERVITALDRINK,Power Vital Drink,Power Vital Drink
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH,Trimmed Nameless Fish,Trimmed Nameless Fish
PRODUCTION_RECIPE_NAME_TRIMMEDNAMELESSFISH2,Trimmed Nameless Fish2,Trimmed Nameless Fish2
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP,Trimmed Shrimp,Trimmed Shrimp
PRODUCTION_RECIPE_NAME_TRIMMEDSHRIMP2,Trimmed Shrimp2,Trimmed Shrimp2
PRODUCTION_RECIPE_NAME_TRIMMEDCOD,Trimmed Cod,Trimmed Cod
PRODUCTION_RECIPE_NAME_TRIMMEDCOD2,Trimmed Cod2,Trimmed Cod2
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING,Trimmed Herring,Trimmed Herring
PRODUCTION_RECIPE_NAME_TRIMMEDHERRING2,Trimmed Herring2,Trimmed Herring2
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID,Trimmed Squid,Trimmed Squid
PRODUCTION_RECIPE_NAME_TRIMMEDSQUID2,Trimmed Squid2,Trimmed Squid2
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL,Trimmed Mackerel,Trimmed Mackerel
PRODUCTION_RECIPE_NAME_TRIMMEDMACKEREL2,Trimmed Mackerel2,Trimmed Mackerel2
PRODUCTION_RECIPE_NAME_TRIMMEDEEL,Trimmed Eel,Trimmed Eel
PRODUCTION_RECIPE_NAME_TRIMMEDEEL2,Trimmed Eel2,Trimmed Eel2
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON,Trimmed Salmon,Trimmed Salmon
PRODUCTION_RECIPE_NAME_TRIMMEDSALMON2,Trimmed Salmon2,Trimmed Salmon2
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA,Trimmed Tuna,Trimmed Tuna
PRODUCTION_RECIPE_NAME_TRIMMEDTUNA2,Trimmed Tuna2,Trimmed Tuna2
PRODUCTION_RECIPE_NAME_CHEESE,Cheese,Cheese
PRODUCTION_RECIPE_NAME_TOMATOSAUCE,Tomato Sauce,Tomato Sauce
PRODUCTION_RECIPE_NAME_BREADDOUGH,Bread Dough,Bread Dough
PRODUCTION_RECIPE_NAME_BUTTER,Butter,Butter
PRODUCTION_RECIPE_NAME_MAYONNAISE,Mayonnaise,Mayonnaise
PRODUCTION_RECIPE_NAME_COOKEDRICE,Cooked Rice,Cooked Rice
PRODUCTION_RECIPE_NAME_FISHSAUCE,Fish Sauce,Fish Sauce
PRODUCTION_RECIPE_NAME_LOLLIPOP,Lollipop,ペロペロキャンディ
PRODUCTION_RECIPE_NAME_MEATSKEWER,Meat Skewer,串肉
PRODUCTION_RECIPE_NAME_BISCUIT,Biscuit,ビスケット
PRODUCTION_RECIPE_NAME_FISHBALL,Fish Ball,Fish Ball
PRODUCTION_RECIPE_NAME_SEAFOODPANCAKE,Seafood Pancake,シーフードサンド
PRODUCTION_RECIPE_NAME_FISHSOUP,Fish Soup,魚のスープ
PRODUCTION_RECIPE_NAME_ROLLBREAD,Roll Bread,食パン
PRODUCTION_RECIPE_NAME_SAUSAGECASSEROLE,Sausage Casserole,ソーセージロール
PRODUCTION_RECIPE_NAME_HOTDOG,Hot Dog,ホットドッグ
PRODUCTION_RECIPE_NAME_FISHSTEW,Fish Stew,魚のソテー
PRODUCTION_RECIPE_NAME_PIZZA,Pizza,ピザ
PRODUCTION_RECIPE_NAME_STEAMEDSEAFOOD,Steamed Seafood,ボイルドシーフード
PRODUCTION_RECIPE_NAME_GRILLEDMACKEREL,Grilled Mackerel,Grilled Mackerel
PRODUCTION_RECIPE_NAME_CHICKENSTICK,Chicken Stick,骨付き肉
PRODUCTION_RECIPE_NAME_FRIEDSQUID,Fried Squid,Fried Squid
PRODUCTION_RECIPE_NAME_STARCANDY,Star Candy,スターキャンディー
PRODUCTION_RECIPE_NAME_FISHCUTLET,Fish Cutlet,Fish Cutlet
PRODUCTION_RECIPE_NAME_MEATSALAD,Meat Salad,ミートサラダ
PRODUCTION_RECIPE_NAME_SEAFOODPIZZA,Seafood Pizza,シーフードピザ
PRODUCTION_RECIPE_NAME_FRIEDSHRIMP,Fried Shrimp,Fried Shrimp
PRODUCTION_RECIPE_NAME_SHRIMPFRIEDRICE,Shrimp Fried Rice,Shrimp Fried Rice
PRODUCTION_RECIPE_NAME_GRATIN,Gratin,グラタン
PRODUCTION_RECIPE_NAME_CORALISLANDCURRY,Coral Island Curry,コーラルアイランドカレー
PRODUCTION_RECIPE_NAME_TUNASUSHI,Tuna Sushi,Tuna Sushi
PRODUCTION_RECIPE_NAME_REDFISHBALL,Red Fish Ball,Red Fish Ball
PRODUCTION_RECIPE_NAME_BLUEFISHBALL,Blue Fish Ball,Blue Fish Ball
PRODUCTION_RECIPE_NAME_GREENFISHBALL,Green Fish Ball,Green Fish Ball
PRODUCTION_RECIPE_NAME_PURPLEFISHBALL,Purple Fish Ball,Purple Fish Ball
PRODUCTION_RECIPE_NAME_RAINBOWFISHBALL,Rainbow Fish Ball,Rainbow Fish Ball
PRODUCTION_RECIPE_NAME_ORANGEFISHBALL,Orange Fish Ball,Orange Fish Ball
PRODUCTION_RECIPE_NAME_SKYBLUEFISHBALL,Sky Blue Fish Ball,Sky Blue Fish Ball
PRODUCTION_RECIPE_NAME_YELLOWFISHBALL,Yellow Fish Ball,Yellow Fish Ball
PRODUCTION_RECIPE_NAME_PINKFISHBALL,Pink Fish Ball,Pink Fish Ball
PRODUCTION_RECIPE_NAME_GREYFISHBALL,Grey Fish Ball,Grey Fish Ball
PRODUCTION_RECIPE_NAME_WHITEFISHBALL,White Fish Ball,White Fish Ball
PRODUCTION_RECIPE_NAME_PICKLEDHERRING,Pickled Herring,Pickled Herring
PRODUCTION_RECIPE_NAME_SALMONSTEAK,Salmon Steak,Salmon Steak
PRODUCTION_RECIPE_NAME_FISHSANDWICH,Fish Sandwich,Fish Sandwich
PRODUCTION_RECIPE_NAME_GRILLEDSALTEDEEL,Grilled Salted Eel,Grilled Salted Eel
PRODUCTION_RECIPE_NAME_PLYWOOD,Plywood,Plywood
PRODUCTION_RECIPE_NAME_RESIN,Resin,Resin
PRODUCTION_RECIPE_NAME_FINISHINGMATERIAL,Finishing Material,Finishing Material
PRODUCTION_RECIPE_NAME_CEDARHARDWOOD,Cedar Hardwood,Cedar Hardwood
PRODUCTION_RECIPE_NAME_CHERRYHARDWOOD,Cherry Hardwood,Cherry Hardwood
PRODUCTION_RECIPE_NAME_PINEHARDWOOD,Pine Hardwood,Pine Hardwood
PRODUCTION_RECIPE_NAME_MAPLEHARDWOOD,Maple Hardwood,Maple Hardwood
PRODUCTION_RECIPE_NAME_OAKHARDWOOD,Oak Hardwood,Oak Hardwood
PRODUCTION_RECIPE_NAME_WALNUTHARDWOOD,Walnut Hardwood,Walnut Hardwood
PRODUCTION_RECIPE_NAME_TEAKHARDWOOD,Teak Hardwood,Teak Hardwood
PRODUCTION_RECIPE_NAME_EBONYHARDWOOD,Ebony Hardwood,Ebony Hardwood
PRODUCTION_RECIPE_NAME_MAHOGANYHARDWOOD,Mahogany Hardwood,Mahogany Hardwood
PRODUCTION_RECIPE_NAME_REDPAINT,Red Paint,Red Paint
PRODUCTION_RECIPE_NAME_BLUEPAINT,Blue Paint,Blue Paint
PRODUCTION_RECIPE_NAME_YELLOWPAINT,Yellow Paint,Yellow Paint
PRODUCTION_RECIPE_NAME_GREENPAINT,Green Paint,Green Paint
PRODUCTION_RECIPE_NAME_BLACKPAINT,Black Paint,Black Paint
PRODUCTION_RECIPE_NAME_WHITEPAINT,White Paint,White Paint
PRODUCTION_RECIPE_NAME_GOLDPAINT,Gold Paint,Gold Paint
PRODUCTION_RECIPE_NAME_WOODENCHAIR,Wooden Chair,木製椅子
PRODUCTION_RECIPE_NAME_WOODENTABLE,Wooden Table,木製テーブル
PRODUCTION_RECIPE_NAME_WOODENDRAWER,Wooden Drawer,木製引き出し
PRODUCTION_RECIPE_NAME_WOODENBOOKCASE,Wooden Bookcase,木製本棚
PRODUCTION_RECIPE_NAME_WOODENSOFA,Wooden Sofa,木製ソファ
PRODUCTION_RECIPE_NAME_WOODENYELLOWCHAIR,Wooden Yellow Chair,木製の黄色い椅子
PRODUCTION_RECIPE_NAME_WOODENYELLOWTABLE,Wooden Yellow Table,木製の黄色いテーブル
PRODUCTION_RECIPE_NAME_WOODENYELLOWDRESSINGTABLE,Wooden Yellow Dressing Table,木製の黄色のドレッシングテーブル
PRODUCTION_RECIPE_NAME_WOODENYELLOWCLOSET,Wooden Yellow Closet,木製の黄色いクローゼット
PRODUCTION_RECIPE_NAME_WOODENYELLOWBENCH,Wooden Yellow Bench,木製の黄色いベンチ
PRODUCTION_RECIPE_NAME_WOODENYELLOWCABINET,Wooden Yellow Cabinet,木製の黄色いキャビネット
PRODUCTION_RECIPE_NAME_WOODENYELLOWBED,Wooden Yellow Bed,木製の黄色いベッド
PRODUCTION_RECIPE_NAME_WOODENBLUECHAIR,Wooden Blue Chair,木製の青い椅子
PRODUCTION_RECIPE_NAME_WOODENBLUETABLE,Wooden Blue Table,木製の青いテーブル
PRODUCTION_RECIPE_NAME_WOODENBLUEDRESSINGTABLE,Wooden Blue Dressing Table,木製ブルードレッシングテーブル
PRODUCTION_RECIPE_NAME_WOODENBLUECLOSET,Wooden Blue Closet,木製の青いクローゼット
PRODUCTION_RECIPE_NAME_WOODENBLUEBENCH,Wooden Blue Bench,木製の青いベンチ
PRODUCTION_RECIPE_NAME_WOODENBLUECABINET,Wooden Blue Cabinet,木製の青いキャビネット
PRODUCTION_RECIPE_NAME_WOODENBLUEBED,Wooden Blue Bed,木製の青いベッド
PRODUCTION_RECIPE_NAME_WOODENREDCHAIR,Wooden Red Chair,木製の赤い椅子
PRODUCTION_RECIPE_NAME_WOODENREDTABLE,Wooden Red Table,木製の赤いテーブル
PRODUCTION_RECIPE_NAME_WOODENREDDRESSINGTABLE,Wooden Red Dressing Table,木製の赤いドレッシングテーブル
PRODUCTION_RECIPE_NAME_WOODENREDCLOSET,Wooden Red Closet,木製の赤いクローゼット
PRODUCTION_RECIPE_NAME_WOODENREDBENCH,Wooden Red Bench,木製の赤いベンチ
PRODUCTION_RECIPE_NAME_WOODENREDCABINET,Wooden Red Cabinet,木製の赤いキャビネット
PRODUCTION_RECIPE_NAME_WOODENREDBED,Wooden Red Bed,木製の赤いベッド
PRODUCTION_RECIPE_NAME_MUSICCHAIR,Music Chair,譜面椅子
PRODUCTION_RECIPE_NAME_MUSICTABLE,Music Table,楽譜表
PRODUCTION_RECIPE_NAME_MUSICDRESSINGTABLE,Music Dressing Table,音楽化粧台
PRODUCTION_RECIPE_NAME_MUSICWARDROBE,Music Wardrobe,音楽ワードローブ
PRODUCTION_RECIPE_NAME_MUSICSOFA,Music Sofa,ミュージックソファ
PRODUCTION_RECIPE_NAME_MUSICCABINET,Music Cabinet,音楽キャビネット
PRODUCTION_RECIPE_NAME_MUSICBED,Music Bed,ミュージックベッド
PRODUCTION_RECIPE_NAME_MODERNCHAIR,Modern Chair,モダンチェア
PRODUCTION_RECIPE_NAME_MODERNTABLE,Modern Table,モダンテーブル
PRODUCTION_RECIPE_NAME_MODERNDRESSINGTABLE,Modern Dressing Table,モダンドレッシングテーブル
PRODUCTION_RECIPE_NAME_MODERNWARDROBE,Modern Wardrobe,モダンワードローブ
PRODUCTION_RECIPE_NAME_MODERNSOFA,Modern Sofa,モダンソファ
PRODUCTION_RECIPE_NAME_MODERNCABINET,Modern Cabinet,モダンキャビネット
PRODUCTION_RECIPE_NAME_MODERNBED,Modern Bed,モダンベッド
PRODUCTION_RECIPE_NAME_DESIGNBLACKCHAIR,Design Black Chair,デザインブラックチェア
PRODUCTION_RECIPE_NAME_DESIGNWHITECHAIR,Design White Chair,デザインホワイトチェア
PRODUCTION_RECIPE_NAME_DESIGNTABLE,Design Table,設計テーブル
PRODUCTION_RECIPE_NAME_DESIGNDRAWER,Design Drawer,デザインドロワー
PRODUCTION_RECIPE_NAME_DESIGNBOOKCASE,Design Bookcase,デザイン本棚
PRODUCTION_RECIPE_NAME_DESIGNSOFA,Design Sofa,デザインソファ
PRODUCTION_RECIPE_NAME_HEARTCHAIR,Heart Chair,ハートチェア
PRODUCTION_RECIPE_NAME_HEARTTABLE,Heart Table,ハートテーブル
PRODUCTION_RECIPE_NAME_HEARTDRESSINGTABLE,Heart Dressing Table,ハートドレッシングテーブル
PRODUCTION_RECIPE_NAME_HEARTWARDROBE,Heart Wardrobe,ハートワードローブ
PRODUCTION_RECIPE_NAME_HEARTSOFA,Heart Sofa,ハートソファ
PRODUCTION_RECIPE_NAME_HEARTCABINET,Heart Cabinet,ハートキャビネット
PRODUCTION_RECIPE_NAME_HEARTBED,Heart Bed,ハートベッド
PRODUCTION_RECIPE_NAME_CUSHIONCHAIR,Cushion Chair,クッションチェア
PRODUCTION_RECIPE_NAME_COMMANDDESK,Antique Desk,Antique Desk
PRODUCTION_RECIPE_NAME_COMMANDPLATFORM,Command Platform,コマンドプラットフォーム
PRODUCTION_RECIPE_NAME_SMALLTABLE,Small Table,スモールテーブル
PRODUCTION_RECIPE_NAME_DRAWER,Drawer,引き出し
PRODUCTION_RECIPE_NAME_TWINBED,Twin Bed,ツインベッド
PRODUCTION_RECIPE_NAME_ROYALCHAIR,Royal Chair,ロイヤルチェア
PRODUCTION_RECIPE_NAME_ROYALTABLE,Royal Table,ロイヤルテーブル
PRODUCTION_RECIPE_NAME_ROYALDRESSINGTABLE,Royal Dressing Table,ロイヤルドレッシングテーブル
PRODUCTION_RECIPE_NAME_ROYALWARDROBE,Royal Wardrobe,ロイヤルワードローブ
PRODUCTION_RECIPE_NAME_ROYALSOFA,Royal Sofa,ロイヤルソファ
PRODUCTION_RECIPE_NAME_ROYALBED,Royal Bed,ロイヤルベッド
PRODUCTION_RECIPE_NAME_ROYALDRAWER,Royal Drawer,ロイヤルドロワー
PRODUCTION_RECIPE_NAME_ROYALBOOKCASE,Royal Bookcase,王室の本棚
PRODUCTION_RECIPE_NAME_ROYALDESK,Royal Desk,ロイヤルデスク
PRODUCTION_RECIPE_NAME_ROYALBATH,Royal Bath,ロイヤルバス
PRODUCTION_RECIPE_NAME_GOLDENROYALCHAIR,Golden Royal Chair,ゴールデンロイヤルチェア
PRODUCTION_RECIPE_NAME_GOLDENROYALTABLE,Golden Royal Table,ゴールデンロイヤルテーブル
PRODUCTION_RECIPE_NAME_GOLDENROYALDRESSINGTABLE,Golden Royal Dressing Table,ゴールデンロイヤルドレッシングテーブル
PRODUCTION_RECIPE_NAME_GOLDENROYALWARDROBE,Golden Royal Wardrobe,ゴールデンロイヤルワードローブ
PRODUCTION_RECIPE_NAME_GOLDENROYALSOFA,Golden Royal Sofa,ゴールデン ロイヤル ソファ
PRODUCTION_RECIPE_NAME_GOLDENROYALBED,Golden Royal Bed,ゴールデン ロイヤルベッド
PRODUCTION_RECIPE_NAME_GOLDENROYALDRAWER,Golden Royal Drawer,ゴールデンロイヤルドロワー
PRODUCTION_RECIPE_NAME_GOLDENROYALBOOKCASE,Golden Royal Bookcase,ゴールデンロイヤル本棚
PRODUCTION_RECIPE_NAME_GOLDENROYALDESK,Golden Royal Desk,ゴールデンロイヤルデスク
PRODUCTION_RECIPE_NAME_GOLDENROYALBATH,Golden Royal Bath,ゴールデン ロイヤル バス
PRODUCTION_RECIPE_NAME_ALCHEMYDESK,Alchemy Desk,Alchemy Desk
PRODUCTION_RECIPE_NAME_HEARTH,Hearth,Hearth
PRODUCTION_RECIPE_NAME_CARPENTRYWORKSPACE,Carpentry Workspace,Carpentry Workspace
PRODUCTION_RECIPE_NAME_SMITHINGWORKSPACE,Smithing Workspace,Smithing Workspace
PRODUCTION_RECIPE_NAME_JEWELPOWDER,Jewel Powder,Jewel Powder
PRODUCTION_RECIPE_NAME_MARBLE,Marble,Marble
PRODUCTION_RECIPE_NAME_CRYSTAL,Crystal,Crystal
PRODUCTION_RECIPE_NAME_POLISHEDTURQUOISE,Polished Turquoise,Polished Turquoise
PRODUCTION_RECIPE_NAME_BRONZE,Bronze,Bronze
PRODUCTION_RECIPE_NAME_MALACHITE,Malachite,Malachite
PRODUCTION_RECIPE_NAME_POLISHEDJADE,Polished Jade,Polished Jade
PRODUCTION_RECIPE_NAME_POLISHEDSILVER,Polished Silver,Polished Silver
PRODUCTION_RECIPE_NAME_POLISHEDGOLD,Polished Gold,Polished Gold
PRODUCTION_RECIPE_NAME_POLISHEDPLATINUM,Polished Platinum,Polished Platinum
PRODUCTION_RECIPE_NAME_POLISHEDDIAMOND,Polished Diamond,Polished Diamond
PRODUCTION_RECIPE_NAME_GLASS,Glass,Glass
PRODUCTION_RECIPE_NAME_IMITATIONPEARL,Imitation Pearl,Imitation Pearl
PRODUCTION_RECIPE_NAME_FLASK,Flask,Flask
PRODUCTION_RECIPE_NAME_HINGE,Hinge,Hinge
PRODUCTION_RECIPE_NAME_SPRING,Spring,Spring
PRODUCTION_RECIPE_NAME_GOLDENSPHERE,Golden Sphere,Golden Sphere
PRODUCTION_RECIPE_NAME_JEWELSTRING,Jewel String,Jewel String
PRODUCTION_RECIPE_NAME_SILVERWORK,Silverwork,Silverwork
PRODUCTION_RECIPE_NAME_GOLDWORK,Goldwork,Goldwork
PRODUCTION_RECIPE_NAME_SPINNINGGLOBE,Spinning Globe,スピニンググローブ
PRODUCTION_RECIPE_NAME_CHANDELIER,Chandelier,シャンデリア
PRODUCTION_RECIPE_NAME_MIRROR,Mirror,Mirror
PRODUCTION_RECIPE_NAME_SILVERWORKOFATTACK,Silverwork of Attack,Silverwork of Attack
PRODUCTION_RECIPE_NAME_SILVERWORKOFDEFENSE,Silverwork of Defense,Silverwork of Defense
PRODUCTION_RECIPE_NAME_GOLDWORKOFATTACK,Goldwork of Attack,Goldwork of Attack
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICATTACK,Goldwork of Magic Attack,Goldwork of Magic Attack
PRODUCTION_RECIPE_NAME_GOLDWORKOFDEFENSE,Goldwork of Defense,Goldwork of Defense
PRODUCTION_RECIPE_NAME_GOLDWORKOFMAGICRESISTANCE,Goldwork of Magic Resistance,Goldwork of Magic Resistance
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREATTACK,Cut Jade of Fire Attack,Cut Jade of Fire Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERATTACK,Cut Jade of Water Attack,Cut Jade of Water Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDATTACK,Cut Jade of Wind Attack,Cut Jade of Wind Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHATTACK,Cut Jade of Earth Attack,Cut Jade of Earth Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGATTACK,Cut Jade of Lightning Attack,Cut Jade of Lightning Attack
PRODUCTION_RECIPE_NAME_CUTJADEOFFIREDEFENSE,Cut Jade of Fire Defense,Cut Jade of Fire Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFWATERDEFENSE,Cut Jade of Water Defense,Cut Jade of Water Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFWINDDEFENSE,Cut Jade of Wind Defense,Cut Jade of Wind Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFEARTHDEFENSE,Cut Jade of Earth Defense,Cut Jade of Earth Defense
PRODUCTION_RECIPE_NAME_CUTJADEOFLIGHTNINGDEFENSE,Cut Jade of Lightning Defense,Cut Jade of Lightning Defense
PRODUCTION_RECIPE_NAME_VIGORRING,Vigor Ring,パワー・リング
PRODUCTION_RECIPE_NAME_STAMRING,Stam Ring,スタム・リング
PRODUCTION_RECIPE_NAME_AREKRING,Arek Ring,アレク・リング
PRODUCTION_RECIPE_NAME_INTELIRING,Inteli Ring,Inteli Ring
PRODUCTION_RECIPE_NAME_PLUGEARRING,Plug Earring,プラグ・イヤリング
PRODUCTION_RECIPE_NAME_DEMOLEARRING,Demol Earring,ディモール・イヤリング
PRODUCTION_RECIPE_NAME_GORENECKLACE,Gore Necklace,ゴア・ネックレス
PRODUCTION_RECIPE_NAME_MENTALNECKLACE,Mental Necklace,メンタル・ネックレス
PRODUCTION_RECIPE_NAME_PEISIONNECKLACE,Peision Necklace,ペイション・ネックレス
PRODUCTION_RECIPE_NAME_MIGHTEER,Mighteer,Mighteer
PRODUCTION_RECIPE_NAME_PENZERU,Penzeru,Penzeru
PRODUCTION_RECIPE_NAME_SPEEDO,Speedo,Speedo
PRODUCTION_RECIPE_NAME_PEP,Pep,Pep
PRODUCTION_RECIPE_NAME_SOCECLE,Socecle,Socecle
PRODUCTION_RECIPE_NAME_ENDUKY,Enduky,Enduky
PRODUCTION_RECIPE_NAME_STRENTE,Strente,Strente
PRODUCTION_RECIPE_NAME_INTIRET,Intiret,Intiret
PRODUCTION_RECIPE_NAME_DEXION,Dexion,Dexion
PRODUCTION_RECIPE_NAME_HANDCRAFTEDSILVERRING,Handcrafted Silver Ring,Handcrafted Silver Ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDGOLDRING,Handcrafted Gold Ring,Handcrafted Gold Ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDPLATINUMRING,Handcrafted Platinum Ring,Handcrafted Platinum Ring
PRODUCTION_RECIPE_NAME_HANDCRAFTEDDIAMONDRING,Handcrafted Diamond Ring,Handcrafted Diamond Ring
