Key,English,Vietnamese
CLIENT_FAQ_INC_000019,"In case you cannot acquire a skill, check your character level and the preceding skill to make sure you meet the requirements for that skill.","Trong trường hợp bạn không thể có được một kỹ năng, hãy kiểm tra cấp độ nhân vật của bạn và kỹ năng trước đó để đảm bảo bạn đáp ứng các yêu cầu cho kỹ năng đó."
CLIENT_FAQ_INC_000020,How do I fly?,Làm thế nào để bay?
CLIENT_FAQ_INC_000021,When you reach level 20 you can buy a board or broomstick from a player or NPC. Then equip the by double-clicking on it and you can fly.,"Khi đạt đến cấp 20, bạn có thể mua ván hoặc chổi từ người chơi hoặc NPC. Sau đó, trang bị bằng cách nhấp đúp vào nó và bạn có thể bay."
CLIENT_FAQ_INC_000022,How do I move the camera.,Làm cách nào để di chuyển máy ảnh.
CLIENT_FAQ_INC_000023,There are two main ways to move the camera. Old Version: Press and hold the mouse wheel. Then move the mouse around. New Version: Press and hold the right mouse button. Then move the mouse around. Use the mouse wheel to zoom in or out and to rotate your camera.,Có hai cách chính để di chuyển máy ảnh. Phiên bản cũ: Nhấn và giữ con lăn chuột. Sau đó di chuyển chuột xung quanh. Phiên bản mới: Nhấn và giữ nút chuột phải. Sau đó di chuyển chuột xung quanh. Sử dụng con lăn chuột để phóng to hoặc thu nhỏ và xoay máy ảnh của bạn.
CLIENT_FAQ_INC_000024,How do I return to my default camera position?,Làm cách nào để quay lại vị trí máy ảnh mặc định của tôi?
CLIENT_FAQ_INC_000025,Old Version: Double click the mouse wheel. New Version: Double click the right mouse button.,Phiên bản cũ: Nhấp đúp vào con lăn chuột. Phiên bản mới: Nhấp đúp vào nút chuột phải
CLIENT_FAQ_INC_000026,"While flying, the camera is hard to move.","Trong khi bay, camera khó di chuyển."
CLIENT_FAQ_INC_000027,"While flying, double click on the right mouse button or use the arrow keys","Trong khi bay, nhấp đúp vào nút chuột phải hoặc sử dụng các phím mũi tên"
CLIENT_FAQ_INC_000028,How can I use Emoticons?,Làm cách nào để sử dụng Biểu tượng cảm xúc?
CLIENT_FAQ_INC_000029,Click 'F9' to take a rest and click 'F9' again to stand up. You can also press 'O' and choose the sit emote and drag it to the bar.,Nhấp vào 'F9' để nghỉ ngơi và nhấp lại vào 'F9' để đứng lên. Bạn cũng có thể nhấn 'O' và chọn sit emotion và kéo nó vào thanh của bạn.
CLIENT_FAQ_INC_000030,How do you trade with other characters?,Làm thế nào để bạn giao dịch với các nhân vật khác?
CLIENT_FAQ_INC_000031,"Left click on a character while holding down Alt and choose the Trade menu. Using items as well as dropping items, along with NPC shops, are not available while trading.","Nhấp chuột trái vào một ký tự trong khi giữ phím Alt và chọn menu Giao dịch. Sử dụng vật phẩm cũng như rơi vật phẩm, cùng với cửa hàng NPC, không có sẵn trong khi giao dịch."
CLIENT_FAQ_INC_000032,Where can I get a quest?,Tôi có thể nhận nhiệm vụ ở đâu?
CLIENT_FAQ_INC_000033,If you want to find out about taking on a quest you can do so by talking with the NPCs.,"Nếu bạn muốn tìm hiểu về việc thực hiện một nhiệm vụ, bạn có thể nói chuyện với các NPC."
CLIENT_FAQ_INC_000034,What is a duel?,Đấu tay đôi là gì?
CLIENT_FAQ_INC_000035,"It means a duel between players, or PvP (Player Vs Player) by mutual consent. There is no penalty for dueling.","Nó có nghĩa là một cuộc đấu tay đôi giữa những người chơi, hoặc PvP (Người chơi Vs Người chơi) bằng sự đồng ý của cả hai. Không có hình phạt cho đánh tay đôi."
CLIENT_FAQ_INC_000036,How can I become famous?,Làm thế nào tôi có thể trở nên nổi tiếng?
CLIENT_FAQ_INC_000037,The more you win tournament the more famous you become. If you become a high level player people will recognize you no matter where you are.,"Bạn càng giành chiến thắng trong giải đấu, bạn càng trở nên nổi tiếng. Nếu bạn trở thành một người chơi cấp cao, mọi người sẽ nhận ra bạn bất kể bạn ở đâu."
CLIENT_FAQ_INC_000038,Why are some player names red? Can I attack everyone?,Tại sao một số tên người chơi lại có màu đỏ? Tôi có thể tấn công tất cả mọi người không?
CLIENT_FAQ_INC_000039,"PK and Karma increase as you kill other players. Your character will be penalized as your PK and Karma increase. A PK character's name is displayed in red. Your PK rate can be redeemed by completing a Confession quest, and your Karma lowers as you kill monsters and / or get killed.",PK và Karma tăng lên khi bạn giết người chơi khác. Nhân vật của bạn sẽ bị phạt khi PK và Karma của bạn tăng lên. Tên nhân vật PK được hiển thị màu đỏ. Tỷ lệ PK của bạn có thể được đổi bằng cách hoàn thành nhiệm vụ Thú nhận và Karma của bạn giảm xuống khi bạn giết quái vật và / hoặc bị giết.
CLIENT_FAQ_INC_000040,"If I encounter a bug, what can I do?","Nếu tôi bắt gặp 1 lỗi của trò chơi, tôi có thể làm gì?"
CLIENT_FAQ_INC_000041,When you encounter any bugs please inform us by posting the bug on our forums at $WEBSITE$,"Khi bạn bắt gặp bất kỳ lỗi nào của trò chơi, vui lòng thông báo cho chúng tôi bằng cách đăng 1 bài viết trên diễn đàn của chúng tôi tại $ WEBSITE $"
CLIENT_FAQ_INC_000042,What is a guild?,Bang hội là gì?
CLIENT_FAQ_INC_000043,"A Guild is a community that is much larger than a Party. Many functions are available as your guild level increases such as a Guild Bank, a Guild Cloak, and 1 on 1 Guild Battle.","Bang hội là một cộng đồng lớn hơn nhiều so với một nhóm. Nhiều chức năng có sẵn khi cấp độ bang hội của bạn tăng lên như Ngân hàng Bang hội, Áo choàng Bang hội và Trận chiến Bang hội 1 chọi 1."
CLIENT_FAQ_INC_000044,Where can we form a guild?,Tôi có thể tự tạo 1 Bang hội không?
CLIENT_FAQ_INC_000045,"To make a Guild, your character's level should be 40 or higher. Once you are level 40 go talk to NPC Helena in Saint Morning and complete the guild quest she gives you.","Để tạo 1 Bang hội, cấp độ nhân vật của bạn phải từ 40 trở lên. Khi bạn đạt cấp độ 40, hãy nói chuyện với NPC Helena ở Saint Morning và hoàn thành nhiệm vụ Bang hội mà cô ấy giao cho bạn."
CLIENT_FAQ_INC_000046,How about a Party?,Cách tạo 1 nhóm?
CLIENT_FAQ_INC_000047,You can form a party to casually join together with other players.,Bạn có thể thành lập một nhóm để ngẫu nhiên tham gia cùng với những người chơi khác.
CLIENT_FAQ_INC_000048,How to invite other players?,Làm thế nào để mời những người chơi khác?
CLIENT_FAQ_INC_000049,Click on another player and select Invite to join party.,Nhấp vào một người chơi khác và chọn Mời tham gia nhóm.
