Key,English,Italian
CLIENT_FAQ_INC_000023,There are two main ways to move the camera. Old Version: Press and hold the mouse wheel. Then move the mouse around. New Version: Press and hold the right mouse button. Then move the mouse around. Use the mouse wheel to zoom in or out and to rotate your camera.,There are two main ways to move the camera. Old Version: Press and hold the mouse wheel. Then move the mouse around. New Version: Press and hold the right mouse button. Then move the mouse around. Use the mouse wheel to zoom in or out and to rotate your camera.
CLIENT_FAQ_INC_000024,How do I return to my default camera position?,How do I return to my default camera position?
CLIENT_FAQ_INC_000025,Old Version: Double click the mouse wheel. New Version: Double click the right mouse button.,Old Version: Double click the mouse wheel. New Version: Double click the right mouse button.
CLIENT_FAQ_INC_000026,"While flying, the camera is hard to move.","While flying, the camera is hard to move."
CLIENT_FAQ_INC_000027,"While flying, double click on the right mouse button or use the arrow keys","While flying, double click on the right mouse button or use the arrow keys"
CLIENT_FAQ_INC_000028,How can I use Emoticons?,How can I use Emoticons?
CLIENT_FAQ_INC_000029,Click 'F9' to take a rest and click 'F9' again to stand up. You can also press 'O' and choose the sit emote and drag it to the bar.,Click 'F9' to take a rest and click 'F9' again to stand up. You can also press 'O' and choose the sit emote and drag it to the bar.
CLIENT_FAQ_INC_000030,How do you trade with other characters?,How do you trade with other characters?
CLIENT_FAQ_INC_000031,"Left click on a character while holding down Alt and choose the Trade menu. Using items as well as dropping items, along with NPC shops, are not available while trading.","Left click on a character while holding down Alt and choose the Trade menu. Using items as well as dropping items, along with NPC shops, are not available while trading."
CLIENT_FAQ_INC_000032,Where can I get a quest?,Where can I get a quest?
CLIENT_FAQ_INC_000033,If you want to find out about taking on a quest you can do so by talking with the NPCs.,If you want to find out about taking on a quest you can do so by talking with the NPCs.
CLIENT_FAQ_INC_000034,What is a duel?,What is a duel?
CLIENT_FAQ_INC_000035,"It means a duel between players, or PvP (Player Vs Player) by mutual consent. There is no penalty for dueling.","It means a duel between players, or PvP (Player Vs Player) by mutual consent. There is no penalty for dueling."
CLIENT_FAQ_INC_000036,How can I become famous?,How can I become famous?
CLIENT_FAQ_INC_000037,The more you win tournament the more famous you become. If you become a high level player people will recognize you no matter where you are.,The more you win tournament the more famous you become. If you become a high level player people will recognize you no matter where you are.
CLIENT_FAQ_INC_000038,Why are some player names red? Can I attack everyone?,Why are some player names red? Can I attack everyone?
CLIENT_FAQ_INC_000039,"PK and Karma increase as you kill other players. Your character will be penalized as your PK and Karma increase. A PK character's name is displayed in red. Your PK rate can be redeemed by completing a Confession quest, and your Karma lowers as you kill monsters and / or get killed.","PK and Karma increase as you kill other players. Your character will be penalized as your PK and Karma increase. A PK character's name is displayed in red. Your PK rate can be redeemed by completing a Confession quest, and your Karma lowers as you kill monsters and / or get killed."
CLIENT_FAQ_INC_000040,"If I encounter a bug, what can I do?","If I encounter a bug, what can I do?"
CLIENT_FAQ_INC_000041,When you encounter any bugs please inform us by posting the bug on our forums at $WEBSITE$,When you encounter any bugs please inform us by posting the bug on our forums at $WEBSITE$
CLIENT_FAQ_INC_000042,What is a guild?,What is a guild?
CLIENT_FAQ_INC_000043,"A Guild is a community that is much larger than a Party. Many functions are available as your guild level increases such as a Guild Bank, a Guild Cloak, and 1 on 1 Guild Battle.","A Guild is a community that is much larger than a Party. Many functions are available as your guild level increases such as a Guild Bank, a Guild Cloak, and 1 on 1 Guild Battle."
CLIENT_FAQ_INC_000044,Where can we form a guild?,Where can we form a guild?
CLIENT_FAQ_INC_000045,"To make a Guild, your character's level should be 40 or higher. Once you are level 40 go talk to NPC Helena in Saint Morning and complete the guild quest she gives you.","To make a Guild, your character's level should be 40 or higher. Once you are level 40 go talk to NPC Helena in Saint Morning and complete the guild quest she gives you."
CLIENT_FAQ_INC_000046,How about a Party?,How about a Party?
CLIENT_FAQ_INC_000047,You can form a party to casually join together with other players.,You can form a party to casually join together with other players.
CLIENT_FAQ_INC_000048,How to invite other players?,How to invite other players?
CLIENT_FAQ_INC_000049,Click on another player and select Invite to join party.,Click on another player and select Invite to join party.
