Key,English,Russian
CLIENT_FAQ_INC_000022,How do I move the camera.,Как управлять камерой?
CLIENT_FAQ_INC_000023,There are two main ways to move the camera. Old Version: Press and hold the mouse wheel. Then move the mouse around. New Version: Press and hold the right mouse button. Then move the mouse around. Use the mouse wheel to zoom in or out and to rotate your camera.,"Чтобы смотреть по сторонам, удерживайте правую кнопку и поворачивайте мышь. Чтобы приблизить или отдалить камеру, пользуйтесь колесиком мыши."
CLIENT_FAQ_INC_000024,How do I return to my default camera position?,Как вернуть вид по умолчанию?
CLIENT_FAQ_INC_000025,Old Version: Double click the mouse wheel. New Version: Double click the right mouse button.,Дважды щелкните правой кнопкой мыши.
CLIENT_FAQ_INC_000026,"While flying, the camera is hard to move.",Как управлять камерой в полете?
CLIENT_FAQ_INC_000027,"While flying, double click on the right mouse button or use the arrow keys","Дважды щелкните правой кнопкой мыши, чтобы зафиксировать управление камерой. Кроме того, можете пользоваться клавишами-'стрелками'."
CLIENT_FAQ_INC_000028,How can I use Emoticons?,Для чего нужны эмоции?
CLIENT_FAQ_INC_000029,Click 'F9' to take a rest and click 'F9' again to stand up. You can also press 'O' and choose the sit emote and drag it to the bar.,Click 'F9' to take a rest and click 'F9' again to stand up. You can also press 'O' and choose the sit emote and drag it to the bar.
CLIENT_FAQ_INC_000030,How do you trade with other characters?,Как обмениваться предметами?
CLIENT_FAQ_INC_000031,"Left click on a character while holding down Alt and choose the Trade menu. Using items as well as dropping items, along with NPC shops, are not available while trading.","Щелкните по персонажу другого игрока, удерживая ALT. Появится меню. Выберите опцию 'Торговля'. Во время обмена нельзя выбрасывать предметы, использовать их, а также торговать с NPC."
CLIENT_FAQ_INC_000032,Where can I get a quest?,Как получать задания?
CLIENT_FAQ_INC_000033,If you want to find out about taking on a quest you can do so by talking with the NPCs.,"Поговорите с NPC, над головой которого висит восклицательный знак."
CLIENT_FAQ_INC_000034,What is a duel?,Что такое поединок?
CLIENT_FAQ_INC_000035,"It means a duel between players, or PvP (Player Vs Player) by mutual consent. There is no penalty for dueling.",Поединок - это дуэль между игроками по обоюдному согласию. Штрафов за поединки нет.
CLIENT_FAQ_INC_000036,How can I become famous?,Как мне стать знаменитым?
CLIENT_FAQ_INC_000037,The more you win tournament the more famous you become. If you become a high level player people will recognize you no matter where you are.,"Чем больше побед в поединках - тем выше известность. Кроме того, развейте персонажа до высшего уровня - тогда даже новички будут понимать, что вы опытный и сильный игрок."
CLIENT_FAQ_INC_000038,Why are some player names red? Can I attack everyone?,Что такое ПК и карма?
CLIENT_FAQ_INC_000039,"PK and Karma increase as you kill other players. Your character will be penalized as your PK and Karma increase. A PK character's name is displayed in red. Your PK rate can be redeemed by completing a Confession quest, and your Karma lowers as you kill monsters and / or get killed.","Если вы убиваете других игроков вне арен и поединков, ваш показатель ПК растет, а карма ухудшается. За низкую карму полагаются особые штрафы. Имя игрока-убийцы пишется красным цветом. Чтобы очистить карму, нужно выполнять задания падре Кармаччи."
CLIENT_FAQ_INC_000040,"If I encounter a bug, what can I do?",Как сообщить вам об ошибке?
CLIENT_FAQ_INC_000041,When you encounter any bugs please inform us by posting the bug on our forums at $WEBSITE$,Выложите сообщение об ошибке на нашем форуме. Желательно сделать ее подробное описание и приложить скриншот.
CLIENT_FAQ_INC_000042,What is a guild?,Что такое гильдия?
CLIENT_FAQ_INC_000043,"A Guild is a community that is much larger than a Party. Many functions are available as your guild level increases such as a Guild Bank, a Guild Cloak, and 1 on 1 Guild Battle.","Гильдия - это достаточно крупное сообщество игроков, объединенных одной целью или просто дружбой. По мере роста уровня гильдии вы сможете приобрести гильдейский сейф, гильдейский плащ, а также принять участие в различных игровых мероприятиях (как PvP, так и PvE направленности)."
CLIENT_FAQ_INC_000044,Where can we form a guild?,Как создать гильдию?
CLIENT_FAQ_INC_000045,"To make a Guild, your character's level should be 40 or higher. Once you are level 40 go talk to NPC Helena in Saint Morning and complete the guild quest she gives you.",Получите 40-й уровень. Затем поговорите с мадам Хельгой в Санто и выполните ее задание.
CLIENT_FAQ_INC_000046,How about a Party?,Как создать труппу?
CLIENT_FAQ_INC_000047,You can form a party to casually join together with other players.,"Труппу, в отличие от гильдии, можно создать в любой момент и без всяких условий."
CLIENT_FAQ_INC_000048,How to invite other players?,How to invite other players?
CLIENT_FAQ_INC_000049,Click on another player and select Invite to join party.,Click on another player and select Invite to join party.
