Key,English,Spanish
CLIENT_FAQ_INC_000023,There are two main ways to move the camera. Old Version: Press and hold the mouse wheel. Then move the mouse around. New Version: Press and hold the right mouse button. Then move the mouse around. Use the mouse wheel to zoom in or out and to rotate your camera.,Hay dos formas principales de mover la cámara. Versión Antigua: Mantén presionada la rueda del mouse. Luego mueve el mouse alrededor. Versión Nueva: Mantén presionado el botón derecho del ratón. Luego mueve el ratón alrededor. Utiliza la rueda del ratón para acercar o alejar y para girar la cámara.
CLIENT_FAQ_INC_000024,How do I return to my default camera position?,¿Cómo puedo volver a la posición de la cámara por defecto?
CLIENT_FAQ_INC_000025,Old Version: Double click the mouse wheel. New Version: Double click the right mouse button.,Versión Antigua: Haz doble clic en la rueda del ratón. Versión Nueva: Haz doble clic en el botón derecho del ratón.
CLIENT_FAQ_INC_000026,"While flying, the camera is hard to move.","Cuando se vuela, la cámara es difícil de mover."
CLIENT_FAQ_INC_000027,"While flying, double click on the right mouse button or use the arrow keys","Mientras vuelas, haz doble clic en el botón derecho del ratón o usa las teclas de flecha."
CLIENT_FAQ_INC_000028,How can I use Emoticons?,¿Cómo puedo usar Emoticonos?
CLIENT_FAQ_INC_000029,Click 'F9' to take a rest and click 'F9' again to stand up. You can also press 'O' and choose the sit emote and drag it to the bar.,Pulsa 'F9' para descansar y 'F9' nuevamente para activarte. También puede pulsar la 'O' para escoger el emoticono sentarse y arrastrarlo a su barra de acceso rápido.
CLIENT_FAQ_INC_000030,How do you trade with other characters?,¿Cómo puedo comerciar con otros jugadores?
CLIENT_FAQ_INC_000031,"Left click on a character while holding down Alt and choose the Trade menu. Using items as well as dropping items, along with NPC shops, are not available while trading.","Haz clic izquierdo en un personaje mientras mantienes presionada la tecla Alt y elige Comercio en el menú. El uso de objetos, así como la caída de objetos, junto con las tiendas NPC, no están disponibles durante el comercio."
CLIENT_FAQ_INC_000032,Where can I get a quest?,¿Dónde puedo conseguir una misión?
CLIENT_FAQ_INC_000033,If you want to find out about taking on a quest you can do so by talking with the NPCs.,"Si quieres encontrar una misión debes hablar con los NPCs, ¡se recomienda hablar frecuentemente con ellos!"
CLIENT_FAQ_INC_000034,What is a duel?,¿Qué es un duelo?
CLIENT_FAQ_INC_000035,"It means a duel between players, or PvP (Player Vs Player) by mutual consent. There is no penalty for dueling.","Significa un duelo entre jugadores, o PvP (Jugador contra Jugador) de mutuo acuerdo. No hay penalización por batirse en duelo."
CLIENT_FAQ_INC_000036,How can I become famous?,¿Cómo puedo volverme famoso?
CLIENT_FAQ_INC_000037,The more you win tournament the more famous you become. If you become a high level player people will recognize you no matter where you are.,"Mientras mas duelos ganes, mas fama ganaras. Si te conviertes en un jugador de alto nivel, la gente te reconocerá sin importar dónde estés."
CLIENT_FAQ_INC_000038,Why are some player names red? Can I attack everyone?,¿Por qué algunos nombres de jugadores son rojos? ¿Puedo atacar a todos?
CLIENT_FAQ_INC_000039,"PK and Karma increase as you kill other players. Your character will be penalized as your PK and Karma increase. A PK character's name is displayed in red. Your PK rate can be redeemed by completing a Confession quest, and your Karma lowers as you kill monsters and / or get killed.","PK y Karma aumentan a medida que matas a otros jugadores. Tu personaje será penalizado a medida que aumenten tu PK y Karma. El nombre de un personaje PK se muestra en rojo. Tu condición de PK se puede redimir completando una misión de confesión, y tu Karma disminuye a medida que matas monstruos y/o te matan."
CLIENT_FAQ_INC_000040,"If I encounter a bug, what can I do?","¿Si encuentro un bug, que hago?"
CLIENT_FAQ_INC_000041,When you encounter any bugs please inform us by posting the bug on our forums at $WEBSITE$,"Cuando encuentres algún bug, infórmanos publicando el bug en nuestros foros en $WEBSITE$"
CLIENT_FAQ_INC_000042,What is a guild?,¿Qué es una guild?
CLIENT_FAQ_INC_000043,"A Guild is a community that is much larger than a Party. Many functions are available as your guild level increases such as a Guild Bank, a Guild Cloak, and 1 on 1 Guild Battle.","Una Guild es una comunidad mayor que una Party. No es temporal y tiene características adicionales como el Almacén de Guild, la Capa y el Logo de Guild, los Combates entre Guilds, etc."
CLIENT_FAQ_INC_000044,Where can we form a guild?,¿Dónde puedo formar una guild?
CLIENT_FAQ_INC_000045,"To make a Guild, your character's level should be 40 or higher. Once you are level 40 go talk to NPC Helena in Saint Morning and complete the guild quest she gives you.","Para crear una Guild, el personaje debe ser de nivel 40 o más, hablar con la NPC Helena en Saint y completar la misión de creación de Guild."
CLIENT_FAQ_INC_000046,How about a Party?,¿Cómo es una Party?
CLIENT_FAQ_INC_000047,You can form a party to casually join together with other players.,Puedes formar una party para unirte casualmente con otros jugadores.
CLIENT_FAQ_INC_000048,How to invite other players?,¿Cómo invito a otros jugadores?
CLIENT_FAQ_INC_000049,Click on another player and select Invite to join party.,Haz clic en un personaje y elige Invitar a la party.
